,CV1,CV2,CV3,CV4,CV5
PURPLE,7,3,7,1,7
KinShanZim,8,10,1,9,4
N32,2,10,8,1,10
Dular,3,8,9,6,5
HashikalmiAus,1,4,1,2,5
KataktaraAus,2,1,3,8,3
Bala,1,8,4,5,4
Angkrang,5,6,5,4,5
SravPrapay,9,4,3,8,10
WAB450IBP62HB,5,9,5,2,1
PanJu,6,2,6,4,1
DhalaShaitta,9,6,10,8,6
EarlyNo1,10,2,5,7,9
SelNo388,7,8,10,5,3
SHIMIZUMOCHI,2,9,9,2,6
Charmarumi,3,8,2,10,5
Dharial,4,1,8,10,1
ARC6578,3,1,6,7,8
TiaHeret,7,4,1,3,3
Pelu,10,8,1,7,3
Sufaida,10,9,4,10,3
Mahlar,4,7,1,3,7
P22,7,1,6,9,6
Ziri,4,8,9,4,9
Sathra,8,5,2,9,7
AiChuehTaPaiKu,8,7,9,2,6
Sigoendaba,3,1,7,1,7
Sabharaj,3,7,6,8,6
ASWINA330,8,10,4,8,3
DNJ151,5,9,7,8,8
TrandeupKandir,10,4,7,9,7
Banajira,9,10,7,5,4
Brondol,9,1,3,9,9
DJ90,3,9,10,9,4
DJ102,4,7,4,4,8
DV132,3,1,6,5,1
Bengawan,3,6,10,10,7
Sug,5,2,8,8,2
Ghorbhai,4,7,2,9,10
AkTokhum,10,7,2,3,7
Jefferson,9,5,5,9,9
Caucasica,9,9,10,1,4
ARPASHALI,8,3,5,4,6
Kabre,2,5,6,6,6
Boma,1,8,4,5,1
IRGC103571,8,4,6,9,1
WAB4501113P40HB,6,4,10,2,10
WAB4502423P33HB,5,2,6,3,3
WAB450243P381HB,7,6,1,1,10
Kharsu,2,6,5,4,6
LongGnarJim,2,2,5,6,7
CenturyPatnaOriginal,3,1,8,3,5
SpinMere,9,5,1,4,9
SecanodoBrazil,9,6,3,1,9
Sigadis,4,1,5,6,2
RedKhoshaCerma,9,6,4,7,1
GHRAIBA,6,10,9,5,5
KhaoPhoi,1,8,4,4,8
Karayal,7,3,3,6,8
PURPLERep,7,10,9,8,8
C8447,5,7,7,7,6
PadiPohonBatu,1,3,2,6,8
Ratna,4,9,9,1,5
Jhona,7,4,5,3,3
HeoTrang,5,10,3,10,4
Sipirasikkam,8,6,6,4,9
Lantjang,7,8,5,5,1
AliCombo,6,7,1,5,8
Torh,4,6,4,6,10
Sugdasi,3,9,5,9,4
JiraShahi,5,4,9,9,5
KerrSail,10,5,9,1,6
AS46,4,1,8,1,8
Janeri,7,3,9,8,2
KuningTinggi,8,9,2,8,2
KoiMurali,4,10,6,8,2
DJ53,3,5,3,3,9
DM55,4,4,8,10,9
DV85,7,9,6,5,3
DaudzaiFieldMix,2,5,4,7,5
M202,6,10,3,2,2
BakTushi,8,9,2,1,8
Gambir,1,4,1,8,7
Shoni,10,9,10,3,3
FIROOZ,1,5,5,1,1
ShevkatiKundry,9,9,10,8,2
UzRosz17,1,8,7,1,5
UZROSZ269,6,2,5,5,5
UzRosz2832,5,7,5,6,4
Vrosz213,3,5,5,9,3
UZROSZM8,6,4,3,3,10
UzRoszM9,1,5,10,2,4
Nahodka,1,5,2,2,4
VILKIDZIRE,6,10,2,10,10
KUBAN3,5,2,2,10,8
UzRos275,9,7,8,3,3
SADRIMASALINSKIJ,5,8,2,9,8
AmbarbyWhite,10,9,9,8,4
BesudiShortGrain,8,8,2,3,6
DeraWadi143,10,6,10,6,5
Cat1747,4,5,2,1,2
P817,5,8,2,2,10
VulgarisKoChAzpasaly,8,3,7,2,3
UZROS59,3,6,3,3,8
ItalicaAlefAmbesteRoyj,7,10,6,6,4
P1042,9,8,7,5,1
P1048,6,3,1,7,10
HZROS637,7,3,4,4,5
Kasakstanica,2,8,7,2,3
Vavilovi,5,7,6,5,9
Nigrescens,6,4,10,5,8
Melanotrix,3,7,9,9,1
AkTohum,4,6,4,4,6
Dicolorata,3,9,8,1,4
AzRos1646,10,8,10,6,6
BakSalyMestnyj,8,1,7,7,2
DONSKOJ2,6,2,8,5,10
DvRos0219,1,6,10,10,2
DvRos2568,6,9,5,7,7
AliComboRep,3,6,10,1,4
KasakiShalaMestnyj,10,7,7,5,2
Kesa,6,10,8,4,7
Severnyj,2,3,10,10,3
UZBEKSKIJ2,2,2,3,8,1
UzRos421,10,1,8,8,3
Pioner320,10,4,3,2,3
Krasnodarski,2,2,9,8,7
LUKTAKHAR,9,4,1,6,2
WIR623,2,2,1,5,5
WIR1528,10,5,4,10,7
HiMuke,1,7,7,6,7
WIR2623,3,7,9,9,10
Celiaj,5,1,3,4,1
