,CV1,CV2,CV3,CV4,CV5
NSFTV1@86f75d2b.0,5,9,8,7,7
NSFTV3@5ef1be74.0,2,3,9,5,7
NSFTV4@81d03b86.0,3,8,10,4,2
NSFTV5@5533f406.0,7,2,1,2,10
NSFTV6@0d125c0e.0,5,3,5,3,6
NSFTV7@e37be9e5.0,7,10,1,9,4
NSFTV8@30c3073f.0,8,10,10,7,8
NSFTV9@2a9d8d47.0,2,1,10,8,10
NSFTV10@2e1c9c87.0,10,1,7,3,3
NSFTV13@660f0236.0,4,9,3,8,5
NSFTV16@f0328a18.0,6,5,3,8,3
NSFTV17@446f6c62.0,2,10,9,8,4
NSFTV18@cbd6b346.0,6,9,4,7,5
NSFTV19@d22c8e33.0,5,4,4,4,9
NSFTV20@6af7c9fc.0,7,1,7,7,10
NSFTV21@fa4c4111.0,7,4,6,4,5
NSFTV22@52c6e2ba.0,1,7,4,7,3
NSFTV23@7741d7c1.0,8,2,10,3,7
NSFTV24@e074229f.0,2,4,2,6,7
NSFTV25@1ce7093b.0,7,8,2,4,9
NSFTV26@32a15c4d.0,10,3,3,5,3
NSFTV27@1956dd3f.0,8,6,3,6,2
NSFTV29@30646147.0,9,7,7,2,4
NSFTV30@dd6e755e.0,5,2,8,10,3
NSFTV31@d2da857d.0,9,8,4,10,3
NSFTV32@068b860d.0,2,9,4,7,7
NSFTV33@2b4e06fe.0,2,2,8,8,5
NSFTV34@c03e2c51.0,10,6,3,6,9
NSFTV36@2593e5a7.0,7,4,10,2,5
NSFTV37@69527f35.0,9,7,2,4,2
NSFTV39@014ab0f1.0,7,5,10,1,6
NSFTV40@76f56677.0,3,7,6,3,2
NSFTV43@e5951598.0,3,10,9,4,3
NSFTV44@7d4c6c4e.0,10,3,4,1,4
NSFTV45@8d6aded4.0,7,10,6,2,6
NSFTV46@68c2ecf8.0,2,5,10,7,1
NSFTV49@21d3f1b3.0,8,5,7,2,6
NSFTV51@57d7feea.0,1,5,10,10,2
NSFTV53@61b7bf53.0,8,10,5,6,10
NSFTV54@06334433.0,10,3,9,1,5
NSFTV55@ef8fd965.0,9,6,8,7,7
NSFTV56@652530bb.0,6,3,1,8,7
NSFTV57@71d5fcf4.0,5,6,6,4,8
NSFTV58@9c099b78.0,10,9,6,8,10
NSFTV59@a5ec1b10.0,2,7,9,1,2
NSFTV60@7f7fb805.0,5,4,7,10,8
NSFTV65@1ab838a2.0,3,3,4,9,2
NSFTV67@39dd7feb.0,1,5,7,7,7
NSFTV69@c14c4e03.0,1,5,2,2,10
NSFTV70@efbb93de.0,1,1,8,10,5
NSFTV71@61cc3858.0,6,4,10,10,4
NSFTV72@12d82364.0,7,2,8,3,6
NSFTV73@97dcf87d.0,6,10,5,9,10
NSFTV74@55d3afae.0,2,7,9,7,3
NSFTV75@b0816082.0,4,5,6,7,6
NSFTV76@cb5e38e6.0,2,8,4,3,3
NSFTV77@45ec7861.0,5,5,9,10,9
NSFTV78@66d97672.0,2,10,7,10,5
NSFTV79@c0936cf1.0,2,3,8,8,10
NSFTV80@02d095ba.0,6,7,8,8,3
NSFTV81@006dfe9b.0,7,6,2,6,1
NSFTV83@becfe767.0,8,1,1,2,1
NSFTV84@7bee5b9f.0,4,10,4,8,4
NSFTV85@328163e1.0,5,9,8,8,6
NSFTV87@64fa0112.0,6,2,9,6,6
NSFTV89@897c5eef.0,7,7,7,10,9
NSFTV90@743f41c1.0,6,2,9,5,1
NSFTV92@5df8f871.0,7,8,5,1,10
NSFTV93@9f1f4614.0,1,7,1,6,9
NSFTV94@20a4c97d.0,8,7,8,5,8
NSFTV96@32a6808e.0,4,6,8,6,2
NSFTV98@6ab77e3e.0,1,6,10,5,8
NSFTV99@7eb7c6a8.0,4,1,3,6,6
NSFTV100@1f10be3d.0,3,5,1,5,7
NSFTV101@9f782e9e.0,10,7,4,1,9
NSFTV102@6e26f4cc.0,3,3,9,1,9
NSFTV103@8c76404c.0,5,7,5,5,4
NSFTV104@8629f76c.0,2,6,8,3,6
NSFTV105@16463092.0,7,9,1,9,8
NSFTV106@8a06320f.0,8,5,5,4,6
NSFTV107@7b7a0d82.0,6,5,9,7,8
NSFTV108@e3b049a9.0,2,6,2,1,6
NSFTV110@11bf5114.0,8,9,2,7,5
NSFTV112@531e23fa.0,10,3,9,6,5
NSFTV113@7a723d9e.0,6,9,6,10,3
NSFTV114@eac19fb8.0,2,8,9,10,4
NSFTV115@0bca95e0.0,4,3,10,2,8
NSFTV116@6cedf6aa.0,9,5,3,3,8
NSFTV117@5b144b9c.0,9,7,1,10,6
NSFTV118@71bd9426.0,6,6,8,4,7
NSFTV119@3aa51818.0,8,8,2,6,5
NSFTV120@8e6220e5.0,10,3,6,9,8
NSFTV121@280279b3.0,9,6,9,9,8
NSFTV122@b6dc1bcc.0,3,1,2,2,8
NSFTV123@714ac141.0,3,8,9,3,2
