,Flowering.time.at.Arkansas,Flag.leaf.length,Flag.leaf.width,Awn.presence,Panicle.number.per.plant,Plant.height,Panicle.length,Primary.panicle.branch.number,Seed.number.per.panicle,Florets.per.panicle,Panicle.fertility,Seed.length,Seed.width,Seed.length.width.ratio,Blast.resistance,Amylose.content,Alkali.spreading.value,Protein.content
NSFTV1@86f75d2b.0,75.08333333,28.375,1.283333333,0,3.068052935,110.9166667,20.48181818,9.272727273,4.785975442,4.914658225,0.879,8.064116667,3.685183333,2.188,8,15.61333333,6.083333334,8.45
NSFTV3@5ef1be74.0,89.5,39.00833333,1,0,4.051784948,143.5,26.83333333,9.166666667,4.439705746,4.727387819,0.75,7.705383333,2.951458333,2.611,4,23.26,5.638888889,9.2
NSFTV4@81d03b86.0,94.5,27.68333333,1.516666667,0,3.124565145,128.0833333,23.53333333,8.666666667,5.07970897,5.146436835,0.935,8.237575,2.926366667,2.815,3,23.12,5.527777778,8
NSFTV5@5533f406.0,87.5,30.41666667,0.891666667,0,3.697178257,153.75,28.96363636,6.363636364,4.523960131,4.730921391,0.813,9.709375,2.3821,4.076,5,19.32333333,6.027777778,9.6
NSFTV6@0d125c0e.0,89.08333333,36.90833333,1.75,0,2.857427602,148.3333333,30.91666667,11.16666667,5.538645743,5.676468373,0.871,7.118183333,3.281891667,2.169,3,23.24,5.444444445,8.5
NSFTV7@e37be9e5.0,105,36.99,1.55,1,2.859021228,119.6,24.625,13.33333333,5.338018733,5.43590303,0.907,7.347254545,2.528890909,2.905,2,20.18666667,6,11.75
NSFTV8@30c3073f.0,101.5833333,41.95,1.858333333,0,2.621038824,147.4166667,31.5,12.22222222,5.54691205,5.794705943,0.781,8.572091667,2.654675,3.229,2,22.195,6.75,8.7
NSFTV9@2a9d8d47.0,73,24.425,1.2125,1,2.924504764,128.875,20.2,7.875,4.620058798,4.739482524,0.887,7.679875,3.3821875,2.271,9,22.56333333,5.25,9.9
NSFTV10@2e1c9c87.0,89,27.9,1,1,3.650658241,83,22.16666667,10.33333333,4.110873864,4.733270189,0.537,7.859,3.23325,2.431,2,15.09666667,7,9.5
NSFTV13@660f0236.0,100.3333333,37.875,1.225,1,3.493134877,135.1666667,25.49,8.6,4.907494535,5.017279837,0.896,8.36956,2.73408,3.061,6,25.255,4.708333334,8.05
NSFTV16@f0328a18.0,90.25,29.98888889,0.966666667,0,3.431295413,161.8333333,30.575,8.875,4.738145869,4.890349128,0.859,9.964958333,2.43615,4.09,5,20.88666667,5.722222222,9.65
NSFTV17@446f6c62.0,83,19,1.2,NA,3.526360525,88,20.26666667,9.666666667,5.036952602,5.105945474,0.933,6.897466667,2.970766667,2.322,1,13.93,6.5,9.2
NSFTV18@cbd6b346.0,98.83333333,32.76666667,0.991666667,1,3.858973784,132,24.75555556,8,4.774529304,4.821746767,0.954,7.658116667,2.88365,2.656,2,26.32333333,5,7.95
NSFTV19@d22c8e33.0,84.66666667,25,1.425,0,3.731699451,121.1666667,21.725,8.5,4.58156032,4.692112116,0.895,8.075316667,3.071875,2.629,1,23.94,6.611111111,8.9
NSFTV20@6af7c9fc.0,104,33.43333333,1.491666667,0,2.713590381,130.5,24.35454545,12.81818182,5.443597652,5.551196227,0.898,8.209158333,3.293458333,2.493,6,17.81666667,7,8.55
NSFTV21@fa4c4111.0,98.75,34.69166667,0.966666667,0,4.108137884,127.25,27.43333333,10.88888889,4.985887124,5.128582925,0.867,7.103891667,3.213966667,2.21,3,24.76333333,5.666666667,7.85
NSFTV22@52c6e2ba.0,101.6666667,43.53333333,1.6,NA,2.512305624,120.6666667,29.6,13.66666667,5.497168225,5.631211782,0.875,8.6127,3.452566667,2.495,1,23.25,5,8.7
NSFTV23@7741d7c1.0,103.4444444,36.38888889,1.166666667,0,2.899588413,112.4444444,21.4,9.166666667,4.652901589,4.958171725,0.737,8.624533333,3.2538,2.651,2,22.665,6,8.85
NSFTV24@e074229f.0,90.91666667,35.90833333,1.533333333,0,2.899588413,132.8333333,23,8.833333333,4.856989537,5.063170242,0.814,9.6739,3.268941667,2.959,1,21.41,5.5,8.4
NSFTV25@1ce7093b.0,92.18181818,35.75,1.3,0,3.139438994,132.125,21.46666667,9,5.04065631,5.156589207,0.891,8.751936364,3.102945455,2.821,5,20.43666667,6.5,8
NSFTV26@32a15c4d.0,92.33333333,38.61666667,1.65,0,2.651960734,136.9166667,25.80833333,10.91666667,5.078293943,5.233778845,0.856,9.636363636,3.230136364,2.983,2,17.39,5.083333334,8.1
NSFTV27@1956dd3f.0,89.75,34.06666667,1.566666667,0,2.614959778,96.33333333,23.725,11.58333333,4.899703733,5.093750201,0.824,10.1823,3.644508333,2.794,1,11.10333333,2,8.85
NSFTV29@30646147.0,90.5,30.05,1.075,0,NA,121.8888889,24.8,8.333333333,4.672828834,4.700480366,0.973,7.8074,2.9248,2.669,6,23.06333333,5,7.5
NSFTV30@dd6e755e.0,104,30.1,0.95,1,3.801091445,121.4444444,22.725,9,4.765018887,4.862393051,0.907,8.477266667,2.576816667,3.29,1,24.02,6.638888889,7.7
NSFTV31@d2da857d.0,89,29.85,0.833333333,0,3.044522438,118.3333333,22.41666667,10.33333333,5.0604831,5.130884422,0.932,7.130816667,3.33185,2.14,6,19.73,7,6.8
NSFTV32@068b860d.0,92.66666667,30.23333333,1.133333333,1,2.820055259,128.1111111,25,13,5.372703078,5.528546864,0.856,6.819333333,3.423422222,1.992,4,18.415,7,7.9
NSFTV33@2b4e06fe.0,82.25,30.8,1.333333333,1,3.320228319,126.25,20.49166667,7.916666667,4.888676887,4.932072972,0.958,7.325583333,2.77925,2.636,5,23.44,4.777777778,8.05
NSFTV34@c03e2c51.0,97,39.36666667,0.95,0,3.135494216,117.5555556,23.11666667,10.83333333,4.16752618,4.982845297,0.442,7.4407,2.684366667,2.772,9,21.04,7,10.4
NSFTV36@2593e5a7.0,92.41666667,33.95833333,1.166666667,0,3.354677366,130.25,22.80909091,13,5.295586368,5.412457411,0.89,7.940881818,3.175354545,2.501,9,15.145,6.916666667,7.65
NSFTV37@69527f35.0,85.83333333,24.91666667,1.191666667,0,2.552045953,101.5833333,26.05555556,13.44444444,5.251225759,5.407171771,0.856,9.258,2.571183333,3.601,6,21.09,4.083333334,7.6
NSFTV39@014ab0f1.0,95.16666667,39.85,0.858333333,0,4.016383021,150.4166667,28.01111111,8.222222222,4.472273513,4.692366731,0.802,9.159608333,3.341125,2.741,8,22.8,7,8.45
NSFTV40@76f56677.0,95.66666667,33.09166667,1.6,0,2.970414466,114.75,27.73636364,8.818181818,4.944236458,5.192956851,0.78,8.222341667,3.756733333,2.189,4,0.21,7,8.7
NSFTV43@e5951598.0,92.25,24.34166667,1.283333333,0,3.739651779,98.66666667,25.9,10.09090909,5.0286538,5.182294145,0.858,7.577,3.179191667,2.383,7,24.985,5.944444445,8.35
NSFTV44@7d4c6c4e.0,81.83333333,37.61666667,1.716666667,0,3.54577861,136,28.64545455,10.36363636,5.329639838,5.377800477,0.953,8.412563636,2.638754545,3.188,5,24.23666667,3.208333334,7.55
NSFTV45@8d6aded4.0,81.75,25.81666667,0.891666667,1,3.358637767,141.1666667,28.85,7.9,4.548599834,4.676560182,0.88,9.447275,2.908825,3.248,5,19.205,5.111111111,9.05
NSFTV46@68c2ecf8.0,95.58333333,39.78888889,1.366666667,1,3.125785402,127.25,21.91111111,9.444444444,4.703506087,4.903627332,0.819,9.8472,2.981063636,3.303,1,22.195,5.666666667,8.5
NSFTV49@21d3f1b3.0,96,24.75833333,0.883333333,1,3.715602524,127.1666667,22.8,7.666666667,4.68981766,4.767855768,0.925,7.147358333,2.836383333,2.52,3,26.095,5.458333334,8.4
NSFTV51@57d7feea.0,102.6,27.95,1.08,0,3.234749174,123.1428571,23.975,10.88888889,4.932673753,5.137267945,0.815,7.36546,3.49469,2.108,8,18.78,6.958333334,8.6
NSFTV53@61b7bf53.0,91,31.92222222,0.866666667,0,3.314186005,152.5,30.8,8.875,4.766911035,4.919980926,0.858,9.8331,2.410925,4.079,4,20.975,5.666666667,8.75
NSFTV54@06334433.0,108.8333333,45.33333333,1.766666667,0,2.735449175,133,29.11111111,14,5.240423388,5.386786015,0.864,9.477358333,2.989266667,3.17,7,23.715,6,8.3
NSFTV55@ef8fd965.0,74.91666667,27.21111111,0.877777778,1,3.414990704,101.3333333,25.55555556,5.555555556,4.021375542,4.259545078,0.788,8.93616,3.29885,2.709,6,17.21,6.916666667,11.9
NSFTV56@652530bb.0,74.125,21,1.15,NA,3.388618599,77,NA,NA,4.760952188,4.816819358,0.946,7.1648625,3.32005,2.158,4,13.22333333,7,8.1
NSFTV57@71d5fcf4.0,89.83333333,23.325,1.158333333,0,4.037186148,137.1666667,24.35454545,8.5,4.748089195,4.888296442,0.869,7.331733333,3.080108333,2.38,4,23.42333333,5.666666667,7.95
NSFTV58@9c099b78.0,91.25,40.05833333,1.408333333,0,3.58120144,129.1666667,24.15555556,10.11111111,5.133180635,5.232296265,0.906,7.914516667,3.30515,2.395,7,26.32,4.472222222,8.05
NSFTV59@a5ec1b10.0,82.16666667,22.83333333,1.7,1,2.463853241,136.5555556,21.77777778,11.22222222,5.010635294,5.166688924,0.856,7.270466667,3.395341667,2.141,7,18.245,4.041666667,9.1
