probIn scale
0.5005434 7.42408e-06
0.4970486 7.394934e-06
0.4953945 7.375628e-06
0.4949118 7.311877e-06
0.4944 7.337169e-06
0.4935421 7.341397e-06
0.4910324 7.342182e-06
0.4886447 7.312143e-06
0.4884287 7.318456e-06
0.4881368 7.317347e-06
0.4950699 7.291861e-06
0.4914848 7.262602e-06
0.4959101 7.301532e-06
0.4961768 7.318675e-06
0.4992692 7.308492e-06
0.4947514 7.340692e-06
0.4924166 7.320631e-06
0.4988105 7.324914e-06
0.4972794 7.339409e-06
0.4945953 7.267897e-06
0.4937356 7.254083e-06
0.4925236 7.286918e-06
0.4923654 7.308007e-06
0.4936394 7.321312e-06
0.4899486 7.261695e-06
0.4871355 7.249214e-06
0.4831216 7.221847e-06
0.4812653 7.227051e-06
0.4802376 7.205304e-06
0.4778673 7.196641e-06
0.4773178 7.14455e-06
0.4811901 7.129308e-06
0.4810681 7.11868e-06
0.4788195 7.149667e-06
0.472179 7.160549e-06
0.474557 7.175228e-06
0.4782225 7.189643e-06
0.4724981 7.193983e-06
0.4695369 7.185269e-06
0.4715782 7.168669e-06
0.475183 7.155934e-06
0.4741391 7.164912e-06
0.4746543 7.105744e-06
0.472726 7.090512e-06
0.4740956 7.070201e-06
0.4694447 7.073724e-06
0.47243 7.041745e-06
0.4656943 7.022626e-06
0.4657291 6.97373e-06
0.4664681 6.958898e-06
0.4691061 6.950585e-06
0.4698662 6.983085e-06
0.4717941 6.924364e-06
0.4650956 6.912831e-06
0.466391 6.893802e-06
0.4711581 6.885638e-06
0.4753333 6.872274e-06
0.4768482 6.856961e-06
0.47394 6.84947e-06
0.4735891 6.820623e-06
0.4731509 6.7761e-06
0.4752398 6.775399e-06
0.4719428 6.78952e-06
0.4679026 6.776638e-06
0.4690126 6.791349e-06
0.4691753 6.786398e-06
0.4642085 6.78392e-06
0.4636939 6.731713e-06
0.4622877 6.728866e-06
0.4574605 6.714151e-06
0.4527825 6.722537e-06
0.4507901 6.712358e-06
0.4502755 6.700866e-06
0.4535785 6.670641e-06
0.4505898 6.665128e-06
0.4481979 6.669844e-06
0.446059 6.666975e-06
0.443306 6.660863e-06
0.442753 6.683015e-06
0.4399513 6.692125e-06
0.4400523 6.69851e-06
0.440878 6.699161e-06
0.4427724 6.700843e-06
0.43736 6.675149e-06
0.4394437 6.603241e-06
0.4388331 6.604033e-06
0.4362611 6.61747e-06
0.4340548 6.614355e-06
0.4357294 6.6246e-06
0.4341184 6.594985e-06
0.4324256 6.590232e-06
0.4325556 6.594236e-06
0.4319982 6.616126e-06
0.4318306 6.585183e-06
0.4326274 6.621401e-06
0.4332103 6.601625e-06
0.4410906 6.578712e-06
0.4418799 6.577415e-06
0.4412316 6.574688e-06
0.4411392 6.593665e-06
0.4397547 6.628484e-06
0.4374163 6.642241e-06
0.4365568 6.626054e-06
0.4386232 6.615771e-06
0.4372955 6.605819e-06
0.4367483 6.590275e-06
0.4391438 6.567946e-06
0.4341076 6.571268e-06
0.4406457 6.558608e-06
0.4408048 6.606417e-06
0.4468649 6.611748e-06
0.4419729 6.657613e-06
0.4431226 6.671715e-06
0.4425273 6.694959e-06
0.4445137 6.682153e-06
0.4468401 6.68711e-06
0.4471729 6.683657e-06
0.4499782 6.666054e-06
0.4490819 6.633635e-06
0.4488311 6.652509e-06
0.4485842 6.657695e-06
0.4464131 6.621902e-06
0.4470342 6.612486e-06
0.4475131 6.64915e-06
0.4499472 6.644234e-06
0.4502356 6.600467e-06
0.4517117 6.548745e-06
0.4450878 6.550591e-06
0.441359 6.552197e-06
0.4431512 6.541533e-06
0.4405261 6.520035e-06
0.4433256 6.534969e-06
0.4455922 6.506676e-06
0.4451676 6.535495e-06
0.4458402 6.546116e-06
0.4462516 6.566392e-06
0.4435519 6.58535e-06
0.4385704 6.573116e-06
0.4382907 6.544848e-06
0.4375808 6.515167e-06
0.4324282 6.502363e-06
0.4302258 6.483415e-06
0.4290319 6.473934e-06
0.4337072 6.439945e-06
0.4357878 6.417148e-06
0.4342839 6.426314e-06
0.4297294 6.375664e-06
0.4273792 6.393757e-06
0.425852 6.423589e-06
0.4268072 6.413398e-06
0.4313268 6.408871e-06
0.4257759 6.402342e-06
0.4273896 6.385846e-06
0.4335358 6.399751e-06
0.4309925 6.389787e-06
0.4348232 6.375588e-06
0.4341084 6.369222e-06
0.4305264 6.363457e-06
0.4289491 6.371246e-06
0.4296223 6.371343e-06
0.4333477 6.336088e-06
0.434781 6.331886e-06
0.4338181 6.311149e-06
0.43496 6.290337e-06
0.4316882 6.277206e-06
0.4291237 6.267688e-06
0.4349298 6.263338e-06
0.4335256 6.244674e-06
0.4363419 6.244075e-06
0.4376141 6.226081e-06
0.4368476 6.216951e-06
0.4371312 6.268671e-06
0.4359937 6.307729e-06
0.433218 6.287841e-06
0.4299683 6.280732e-06
0.4286697 6.282168e-06
0.4318602 6.256174e-06
0.4298602 6.256062e-06
0.4301004 6.235881e-06
0.4321947 6.178263e-06
0.4358763 6.182849e-06
0.4345202 6.169666e-06
0.4325592 6.211607e-06
0.4388231 6.208199e-06
0.440735 6.195793e-06
0.4390456 6.206507e-06
0.434965 6.202913e-06
0.4406769 6.206665e-06
0.4448769 6.222891e-06
0.4477905 6.240938e-06
0.4443925 6.224101e-06
0.4398367 6.215434e-06
0.4364516 6.245616e-06
0.4329307 6.234714e-06
0.4285861 6.185678e-06
0.4302626 6.194968e-06
0.4284038 6.21043e-06
0.4252436 6.167554e-06
0.4232496 6.17015e-06
0.4234154 6.127647e-06
0.42575 6.116375e-06
0.4286879 6.115833e-06
0.4317911 6.106147e-06
0.4363949 6.167098e-06
0.4357131 6.157917e-06
0.4382018 6.118709e-06
0.4393461 6.118756e-06
0.4407028 6.119968e-06
0.4403954 6.115623e-06
0.4393353 6.123579e-06
0.43805 6.131174e-06
0.4347985 6.147599e-06
0.4391158 6.120528e-06
0.4365934 6.10414e-06
0.4397151 6.109041e-06
0.4337938 6.074025e-06
0.4393986 6.105337e-06
0.4354628 6.077844e-06
0.4331705 6.087151e-06
0.4337018 6.080625e-06
0.4368012 6.045229e-06
0.4345516 6.061029e-06
0.4295773 6.054304e-06
0.4292187 6.028229e-06
0.4228348 6.016847e-06
0.4253384 6.030933e-06
0.4221068 6.030631e-06
0.4251939 6.01838e-06
0.4255466 6.031317e-06
0.4270313 6.032278e-06
0.4283934 6.001889e-06
0.4290523 6.031097e-06
0.4291654 6.07283e-06
0.4323045 6.075886e-06
0.4333994 6.063757e-06
0.4351981 6.07817e-06
0.434518 6.06274e-06
0.4372404 6.095606e-06
0.4433616 6.087541e-06
0.4445291 6.128822e-06
0.4466785 6.113862e-06
0.446362 6.124627e-06
0.4433402 6.109275e-06
0.4435018 6.123391e-06
0.4450156 6.095269e-06
0.4469508 6.082967e-06
0.4411429 6.042515e-06
0.4394719 6.062274e-06
0.4396276 6.051465e-06
0.4408884 6.039268e-06
0.4452695 6.01962e-06
0.44362 5.994038e-06
0.4427442 5.994956e-06
0.4425483 5.965006e-06
0.4416587 5.951084e-06
0.440128 5.959568e-06
0.4373607 5.910178e-06
0.4345054 5.897962e-06
0.4337496 5.898733e-06
0.4400541 5.909355e-06
0.4434189 5.877696e-06
0.4447128 5.867672e-06
0.4423413 5.863655e-06
0.4410993 5.83438e-06
0.4382018 5.842452e-06
0.439133 5.846873e-06
0.4417528 5.838442e-06
0.4383123 5.846642e-06
0.4349813 5.840636e-06
0.4357123 5.819808e-06
0.432667 5.838041e-06
0.4351342 5.842344e-06
0.4386677 5.838203e-06
0.4387517 5.857456e-06
0.4376228 5.869998e-06
0.4374116 5.896825e-06
0.435458 5.888326e-06
0.4418637 5.871552e-06
0.4454008 5.864898e-06
0.4427111 5.930133e-06
0.44454 5.923125e-06
0.4441469 5.884958e-06
0.4523352 5.886371e-06
0.4531021 5.875402e-06
0.4494538 5.866231e-06
0.4478274 5.870257e-06
0.4443715 5.868397e-06
0.4418571 5.884947e-06
0.4421014 5.877265e-06
0.4419999 5.898188e-06
0.4409983 5.914889e-06
0.4453206 5.918596e-06
0.4387989 5.940468e-06
0.4398202 5.966816e-06
0.4365257 5.970554e-06
0.4349939 5.993737e-06
0.4358017 5.99043e-06
0.4332469 5.991499e-06
0.4350752 5.992043e-06
0.4319695 5.968777e-06
0.4333678 5.931446e-06
0.4344482 5.965987e-06
0.4372102 5.960835e-06
0.4395989 5.939702e-06
0.4398512 5.93736e-06
0.4436633 5.919757e-06
0.445135 5.931878e-06
0.4505923 5.926566e-06
0.4507976 5.913941e-06
0.446828 5.892801e-06
0.4466758 5.930697e-06
0.4440756 5.927906e-06
0.443185 5.930263e-06
0.4464114 5.946862e-06
0.4419182 5.930898e-06
0.4455064 5.89261e-06
0.4439308 5.873401e-06
0.4398271 5.888882e-06
0.4410586 5.860361e-06
0.4454357 5.852111e-06
0.451786 5.859138e-06
0.4581149 5.833113e-06
0.4545148 5.837516e-06
0.4546314 5.859506e-06
0.4529801 5.847626e-06
0.4533416 5.844071e-06
0.4503923 5.859439e-06
0.4499675 5.818957e-06
0.4488952 5.800236e-06
0.4493813 5.804192e-06
0.4503581 5.808189e-06
0.4544318 5.774173e-06
0.4542975 5.754534e-06
0.4547829 5.791437e-06
0.4481873 5.778137e-06
0.4475555 5.779496e-06
0.4492531 5.798881e-06
0.4506694 5.804303e-06
0.4506373 5.81813e-06
0.4485327 5.825738e-06
0.4486871 5.766461e-06
0.4502276 5.788027e-06
0.4469301 5.761269e-06
0.4457613 5.748332e-06
0.446725 5.768203e-06
0.4467579 5.74687e-06
0.4500269 5.730468e-06
0.4506283 5.743541e-06
0.4466014 5.747e-06
0.4441167 5.750183e-06
0.4443188 5.748403e-06
0.4491176 5.74918e-06
0.4459856 5.715477e-06
0.441803 5.70996e-06
0.4396382 5.721722e-06
0.4432049 5.706315e-06
0.4454761 5.725244e-06
0.442199 5.718162e-06
0.4432052 5.705533e-06
0.444281 5.714414e-06
0.4414393 5.709546e-06
0.4423217 5.722171e-06
0.4415019 5.748654e-06
